time_s,tracker_id,qx,qy,qz,qw,raw_grip
12.2496,CubeRed,-0.4642,0.4643,-0.4818,0.5804,0
12.2498,CubeBlue,0.0158,-0.6245,-0.0146,0.7807,0
12.3598,CubeRed,-0.4631,0.4654,-0.4840,0.5784,0
12.3601,CubeBlue,0.0157,-0.6245,-0.0149,0.7807,0
12.3895,CubeRed,-0.4614,0.4675,-0.4879,0.5749,0
12.3901,CubeBlue,0.0164,-0.6245,-0.0144,0.7807,0
12.4406,CubeRed,-0.4610,0.4679,-0.4885,0.5744,0
12.4408,CubeBlue,0.0153,-0.6245,-0.0147,0.7807,0
12.5575,CubeRed,-0.4529,0.4648,-0.4856,0.5857,0
12.5577,CubeBlue,0.0161,-0.6245,-0.0138,0.7807,0
